customer_id,country,age_range,signup_date,customer_key
1,France,56-65,2025-04-24,1
2,France,36-45,2025-02-24,2
3,Netherlands,46-55,2024-04-12,3
4,Italy,36-45,2025-03-11,4
5,Spain,26-35,2025-04-26,5
6,Spain,46-55,2024-12-14,6
7,France,46-55,2024-09-27,7
8,Netherlands,46-55,2024-04-16,8
9,Spain,46-55,2025-03-07,9
10,Germany,16-25,2024-03-12,10
11,France,16-25,2024-07-07,11
12,Germany,46-55,2025-06-11,12
13,Netherlands,56-65,2024-01-21,13
14,Germany,46-55,2025-03-08,14
15,Netherlands,26-35,2025-04-05,15
16,Germany,26-35,2025-04-05,16
17,France,26-35,2025-04-17,17
18,France,36-45,2025-03-03,18
19,Germany,56-65,2025-02-14,19
20,France,26-35,2025-04-20,20
21,France,56-65,2025-03-31,21
22,Germany,36-45,2025-03-03,22
23,France,56-65,2025-02-09,23
24,Spain,56-65,2024-04-12,24
25,Italy,36-45,2025-03-24,25
26,Netherlands,46-55,2024-05-01,26
27,Italy,16-25,2025-03-11,27
28,Spain,16-25,2025-04-02,28
29,Spain,56-65,2025-03-27,29
30,Germany,26-35,2024-08-02,30
31,France,46-55,2024-11-26,31
32,Netherlands,16-25,2024-03-28,32
33,Italy,56-65,2025-02-26,33
34,France,56-65,2025-01-07,34
35,France,26-35,2025-04-28,35
36,France,26-35,2025-03-12,36
37,Netherlands,46-55,2025-03-02,37
38,Spain,26-35,2025-06-03,38
39,France,36-45,2025-04-05,39
40,Spain,56-65,2024-04-09,40
41,Germany,36-45,2025-04-06,41
42,Spain,46-55,2025-04-19,42
43,Germany,56-65,2025-04-07,43
44,Germany,26-35,2024-12-25,44
45,Italy,46-55,2024-05-31,45
46,Germany,56-65,2025-04-26,46
47,Germany,26-35,2025-04-07,47
48,Germany,56-65,2025-03-22,48
49,Netherlands,16-25,2025-04-03,49
50,Spain,26-35,2024-05-10,50
51,Germany,56-65,2025-02-06,51
52,France,16-25,2024-05-29,52
53,Italy,46-55,2025-05-12,53
54,Italy,26-35,2025-02-13,54
55,France,26-35,2024-11-04,55
56,Italy,16-25,2024-09-14,56
57,France,16-25,2024-12-09,57
