date,date_key,year,month,month_name,day_of_week,quarter,is_weekend
2025-04-04,20250404,2025,4,April,4,2,0
2025-04-05,20250405,2025,4,April,5,2,1
2025-04-06,20250406,2025,4,April,6,2,1
2025-04-13,20250413,2025,4,April,6,2,1
2025-04-14,20250414,2025,4,April,0,2,0
2025-04-15,20250415,2025,4,April,1,2,0
2025-04-16,20250416,2025,4,April,2,2,0
2025-04-17,20250417,2025,4,April,3,2,0
2025-04-18,20250418,2025,4,April,4,2,0
2025-04-19,20250419,2025,4,April,5,2,1
2025-04-20,20250420,2025,4,April,6,2,1
2025-04-21,20250421,2025,4,April,0,2,0
2025-04-22,20250422,2025,4,April,1,2,0
2025-04-23,20250423,2025,4,April,2,2,0
2025-04-24,20250424,2025,4,April,3,2,0
2025-04-25,20250425,2025,4,April,4,2,0
2025-04-26,20250426,2025,4,April,5,2,1
2025-04-27,20250427,2025,4,April,6,2,1
2025-04-28,20250428,2025,4,April,0,2,0
2025-04-29,20250429,2025,4,April,1,2,0
2025-04-30,20250430,2025,4,April,2,2,0
2025-05-04,20250504,2025,5,May,6,2,1
2025-05-05,20250505,2025,5,May,0,2,0
2025-05-06,20250506,2025,5,May,1,2,0
2025-05-13,20250513,2025,5,May,1,2,0
2025-05-14,20250514,2025,5,May,2,2,0
2025-05-15,20250515,2025,5,May,3,2,0
2025-05-16,20250516,2025,5,May,4,2,0
2025-05-17,20250517,2025,5,May,5,2,1
2025-05-18,20250518,2025,5,May,6,2,1
2025-05-19,20250519,2025,5,May,0,2,0
2025-05-20,20250520,2025,5,May,1,2,0
2025-05-21,20250521,2025,5,May,2,2,0
2025-05-22,20250522,2025,5,May,3,2,0
2025-05-23,20250523,2025,5,May,4,2,0
2025-05-24,20250524,2025,5,May,5,2,1
2025-05-25,20250525,2025,5,May,6,2,1
2025-05-26,20250526,2025,5,May,0,2,0
2025-05-27,20250527,2025,5,May,1,2,0
2025-05-28,20250528,2025,5,May,2,2,0
2025-05-29,20250529,2025,5,May,3,2,0
2025-05-30,20250530,2025,5,May,4,2,0
2025-05-31,20250531,2025,5,May,5,2,1
2025-06-04,20250604,2025,6,June,2,2,0
2025-06-05,20250605,2025,6,June,3,2,0
2025-06-06,20250606,2025,6,June,4,2,0
2025-06-13,20250613,2025,6,June,4,2,0
2025-06-14,20250614,2025,6,June,5,2,1
2025-06-15,20250615,2025,6,June,6,2,1
2025-06-16,20250616,2025,6,June,0,2,0
2025-06-17,20250617,2025,6,June,1,2,0
