product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender,product_key
1,Soft Wrap Dress,Dresses,Tiva,Green,S,40.41,20.7,Female,1
2,Soft Wrap Tee,T-Shirts,Tiva,White,S,78.45,53.76,Female,2
3,Soft Linen Tee,T-Shirts,Tiva,Green,XL,23.9,14.81,Female,3
4,Soft Ribbed Tee,T-Shirts,Tiva,White,S,60.0,34.78,Female,4
5,Soft Wrap Trousers,Pants,Tiva,Blue,M,36.84,16.46,Female,5
6,Soft Wrap Shoes,Shoes,Tiva,Green,36,70.86,31.66,Female,6
7,Soft Linen Dress,Dresses,Tiva,White,M,57.66,24.07,Female,7
8,Soft Linen Trousers,Pants,Tiva,Green,M,50.91,33.59,Female,8
9,Soft Linen Shoes,Shoes,Tiva,Red,40,40.5,23.5,Female,9
10,Soft Ribbed Trousers,Pants,Tiva,Black,L,79.7,48.81,Female,10
11,Soft Ribbed Shoes,Shoes,Tiva,Green,38,51.09,20.75,Female,11
12,Soft Ribbed Dress,Dresses,Tiva,Red,XL,44.77,30.93,Female,12
13,Soft Cotton Shoes,Shoes,Tiva,Green,36,34.25,22.25,Female,13
14,Soft Cotton Dress,Dresses,Tiva,Black,XS,24.96,11.57,Female,14
15,Soft Cotton Tee,T-Shirts,Tiva,Blue,S,61.26,27.85,Female,15
16,Soft Cotton Trousers,Pants,Tiva,Blue,M,40.36,18.36,Female,16
17,Soft Satin Dress,Dresses,Tiva,Blue,L,51.9,25.5,Female,17
18,Soft Satin Shoes,Shoes,Tiva,Green,XS,40.99,22.85,Female,18
19,Soft Silk Dress,Dresses,Tiva,Blue,S,65.26,34.56,Female,19
20,Soft Crew Dress,Dresses,Tiva,White,XS,45.42,22.14,Female,20
21,Soft Silk Shoes,Shoes,Tiva,Red,36,43.3,25.27,Female,21
22,Soft Satin Tee,T-Shirts,Tiva,Black,XS,58.26,25.74,Female,22
23,Soft Sleeveless Dress,Dresses,Tiva,Red,XL,27.5,13.41,Female,23
24,Soft High-Waist Dress,Dresses,Tiva,Green,S,42.76,21.8,Female,24
25,Soft Wrap Set,Sleepwear,Tiva,Red,L,52.94,28.42,Female,25
26,Soft Crew Shoes,Shoes,Tiva,White,40,57.48,36.53,Female,26
27,Soft Boxy Dress,Dresses,Tiva,Red,XL,57.35,26.38,Female,27
28,Soft Sleeveless Shoes,Shoes,Tiva,Red,38,51.18,28.37,Female,28
29,Soft Linen Set,Sleepwear,Tiva,White,XS,44.27,25.58,Female,29
30,Soft Satin Trousers,Pants,Tiva,Blue,XS,31.09,12.87,Female,30
31,Soft Silk Trousers,Pants,Tiva,White,L,69.82,40.65,Female,31
32,Soft Silk Tee,T-Shirts,Tiva,Blue,XS,54.83,24.74,Female,32
33,Modern Wrap Dress,Dresses,Tiva,Blue,XL,65.23,27.36,Female,33
34,Modern Linen Dress,Dresses,Tiva,Green,S,48.34,33.1,Female,34
35,Modern Ribbed Dress,Dresses,Tiva,White,XL,61.61,42.49,Female,35
36,Modern Cotton Dress,Dresses,Tiva,Red,L,72.06,46.3,Female,36
37,Soft Crew Trousers,Pants,Tiva,Red,XS,51.33,25.22,Female,37
38,Soft Crew Tee,T-Shirts,Tiva,Red,XS,62.8,26.96,Female,38
39,Soft Sleeveless Trousers,Pants,Tiva,Red,M,29.97,18.14,Female,39
40,Soft High-Waist Trousers,Pants,Tiva,White,L,53.19,28.3,Female,40
41,Soft Boxy Trousers,Pants,Tiva,Green,M,37.94,16.57,Female,41
42,Soft Ribbed Set,Sleepwear,Tiva,Green,L,54.2,29.73,Female,42
43,Modern Satin Dress,Dresses,Tiva,Blue,L,49.4,20.27,Female,43
44,Modern Wrap Trousers,Pants,Tiva,Red,XS,64.84,43.62,Female,44
45,Soft Sleeveless Tee,T-Shirts,Tiva,Red,S,54.16,25.87,Female,45
46,Soft Cotton Set,Sleepwear,Tiva,Blue,XS,25.15,15.06,Female,46
47,Soft High-Waist Tee,T-Shirts,Tiva,White,XS,53.73,26.52,Female,47
48,Soft High-Waist Shoes,Shoes,Tiva,Red,XS,54.38,30.24,Female,48
